,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
2444,Obeckov,Obeckov,Veľký Krtíš,991 05,Sklabiná,Sklabiná,610,BC,48.2083529,19.3507661
2445,Obid,Obid,Nové Zámky,943 04,Obid,Obid,404,NI,47.7777903,18.6461201
2446,Obišovce,Obišovce,Košice-okolie,044 81,Kysak,Kysak,806,KI,48.862006,21.2382078
2447,Oblazov,Oblazov,Bytča,013 61,Kotešová,Kotešová,501,ZI,49.25260249999999,18.6361172
2448,Oborín,Oborín,Michalovce,076 75,Oborín,Oborín,807,KI,48.5442204,21.8839854
2449,Obručná,Obručná,Lučenec,985 58,Radzovce,Radzovce,606,BC,48.19369,19.87593
2450,Obručné,Obručné,Stará Ľubovňa,065 42,Čirč,Čirč,710,PV,49.30679000000001,20.9831292
2451,Obsolovce,Obsolovce,Topoľčany,956 08,Horné Obdokovce,Horné Obdokovce,406,NI,48.50183879999999,18.0133978
2452,Obyce,Obyce,Zlaté Moravce,951 95,Obyce,Obyce,407,NI,48.4280129,18.4538548
2453,Očkov,Očkov,Nové Mesto n.Váhom,916 22,Podolie,Podolie,304,TC,48.653441,17.7642863
2454,Očová,Očová,Zvolen,,,Pozri zoz.ulíc s PSČ,611,BC,48.5992167,19.2867443
2455,Odorín,Odorín,Spišská Nová Ves,053 22,Odorín,Odorín,810,KI,48.9339119,20.633095
2456,Ohrady,Ohrady,Dunajská Streda,930 12,Ohrady,Ohrady,201,TA,47.9895639,17.6993881
2457,Ohradzany,Ohradzany,Humenné,067 22,Ohradzany,Ohradzany,702,PV,48.99766169999999,21.8400196
2458,Ochodnica,Ochodnica,Kysucké Nové Mesto,023 35,Ochodnica,Ochodnica,504,ZI,49.34791939999999,18.792932
2459,Ochtiná,Ochtiná,Rožňava,049 35,Ochtiná,Ochtiná,808,KI,48.6839892,20.3279911
2460,Okánikovo,Okánikovo,Komárno,946 21,Veľké Kosihy,Veľké Kosihy,401,NI,47.786183,17.8858772
2461,Okoč,Okoč,Dunajská Streda,930 28,Okoč,Okoč,201,TA,47.88620909999999,17.808011
2462,Okoličná na Ostrove,Okoličná na Ostrove,Komárno,946 13,Okoličná na Ostrove,Okoličná na Ostrove,401,NI,47.8050618,17.9208529
2463,Okoličné,Okoličné,Liptovský Mikuláš,031 04,Liptovský Mikuláš 4,Liptovský Mikuláš 4,505,ZI,49.07484239999999,19.6504106
2464,Okrúhle,Okrúhle,Svidník,090 42,Okrúhle,Okrúhle,712,PV,49.1810498,21.554859
2465,Okružná,Okružná,Prešov,082 12,Kapušany pri Prešove,Kapušany pri Prešove,707,PV,49.0233825,21.3691151
2466,Olcnava,Olcnava,Spišská Nová Ves,053 61,Spišské Vlachy,Spišské Vlachy,810,KI,48.9263875,20.7539618
2467,Oľdza,Oľdza,Dunajská Streda,930 39,Zlaté Klasy,Zlaté Klasy,201,TA,48.0858064,17.4208782
2468,Olejníkov,Olejníkov,Sabinov,082 57,Ľutina,Ľutina,708,PV,49.1817663,21.0642569
2469,Olešná,Olešná,Čadca,023 52,Olešná pri Čadci,Olešná pri Čadci,502,ZI,49.44078,18.6557128
2470,Olichov,Olichov,Zlaté Moravce,951 87,Volkovce,Volkovce,407,NI,48.35568199999999,18.4740377
2471,Oľka,Oľka,Medzilaborce,067 04,Oľka,Oľka,705,PV,49.1540828,21.8426309
2472,Olováry,Olováry,Veľký Krtíš,991 22,Bušince,Bušince,610,BC,48.152376,19.410097
2473,Oľšavce,Oľšavce,Bardejov,086 46,Hankovce pri Giraltovciach,Hankovce pri Gir.,701,PV,49.2036944,21.3834327
2474,Oľšavica,Oľšavica,Levoča,053 73,Brutovce,Brutovce,704,PV,49.0845681,20.7497894
2475,Oľšavka,Oľšavka,Stropkov,090 22,Bukovce,Bukovce,711,PV,49.291732,21.6868502
2476,Oľšavka,Oľšavka,Spišská Nová Ves,053 61,Spišské Vlachy,Spišské Vlachy,810,KI,48.9653295,20.8252213
2477,Olšina,Olšina,Trebišov,075 01,Trebišov 1,Trebišov 1,811,KI,48.6092337,21.7830045
2478,Oľšinkov,Oľšinkov,Medzilaborce,067 16,Výrava,Výrava,705,PV,49.1997046,22.0393256
2479,Oľšov,Oľšov,Sabinov,082 76,Torysa,Torysa,708,PV,49.180001,20.8787707
2480,Olšovany,Olšovany,Košice-okolie,044 19,Ruskov,Ruskov,806,KI,48.7051832,21.4125806
2481,Omastiná,Omastiná,Bánovce nad Bebravou,956 41,Uhrovec,Uhrovec,301,TC,48.7771205,18.3886629
2482,Omšenie,Omšenie,Trenčín,914 43,Omšenie,Omšenie,309,TC,48.9016837,18.2275801
2483,Onča,Onča,Trebišov,076 52,Veľký Horeš,Veľký Horeš,811,KI,48.6284913,21.715555
2484,Ondavka,Ondavka,Bardejov,086 36,Nižná Polianka,Nižná Polianka,701,PV,49.43629989999999,21.3385851
2485,Ondavské Matiašovce,Ondavské Matiašovce,Vranov nad Topľou,094 01,Tovarné,Tovarné,713,PV,48.9348424,21.7458834
2486,Ondrašová,Ondrašová,Turčianske Teplice,038 22,Slovenské Pravno,Slovenské Pravno,509,ZI,48.9430607,18.8057292
2487,Ondrašovce,Ondrašovce,Prešov,082 33,Chminianska Nová Ves,Chminianska Nová Ves,707,PV,48.9887887,21.0793286
2488,Ondrej,Ondrej,Poprad,059 12,Hôrka pri Poprade,Hôrka pri Poprade,706,PV,49.0197229,20.3863522
2489,Ondrej nad Hronom,Ondrej nad Hronom,Banská Bystrica,976 62,Brusno,Brusno,601,BC,48.79283,19.38261
