,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
868,Háj,Háj,Turčianske Teplice,039 01,Turčianske Teplice,Turčianske Teplice,509,ZI,48.8629818,18.8858703
869,Háj,Háj,Košice-okolie,044 02,Turňa nad Bodvou,Turňa nad Bodvou,806,KI,48.6284314,20.8542317
870,Hájiky - Maky,Hájiky - Maky,Poltár,987 01,Poltár,Poltár,607,BC,48.41211999999999,19.78081
871,Hajná Nová Ves,Hajná Nová Ves,Topoľčany,956 03,Hajná Nová Ves,Hajná Nová Ves,406,NI,48.5345507,18.0321078
872,Hajnáčka,Hajnáčka,Rimavská Sobota,980 33,Hajnáčka,Hajnáčka,609,BC,48.2163218,19.953033
873,Hájniky,Hájniky,Zvolen,962 31,Sliač,Sliač,611,BC,48.6171747,19.1383558
874,Hájske,Hájske,Šaľa,951 33,Hájske,Hájske,405,NI,48.2552296,17.8664494
875,Hajtovka,Hajtovka,Stará Ľubovňa,065 45,Plavnica,Plavnica,710,PV,49.296046,20.7729971
876,Haláčovce,Haláčovce,Bánovce nad Bebravou,956 55,Veľké Chlievany,Veľké Chlievany,301,TC,48.71884559999999,18.260344
877,Halič,Halič,Lučenec,985 11,Halič,Halič,606,BC,48.35396309999999,19.5740046
878,Halič,Halič,Lučenec,984 01,Lučenec 1,Lučenec 1,606,BC,48.35396309999999,19.5740046
879,Haligovce,Haligovce,Stará Ľubovňa,065 34,Veľká Lesná,Veľká Lesná,710,PV,49.3591361,20.4470953
880,Haluzice,Haluzice,Nové Mesto n.Váhom,913 07,Bošáca,Bošáca,304,TC,48.8230288,17.8657061
881,Hámor,Hámor,Brezno,976 66,Polomka,Polomka,603,BC,48.85054479999999,19.8910241
882,Hámre,Hámre,Gelnica,053 33,Nálepkovo,Nálepkovo,801,KI,48.84049,20.6169399
883,Hámre,Hámre,Trenčín,913 21,Trenčianska Turná,Trenčianska Turná,309,TC,48.8476848,18.0445358
884,Hámre - Dolné Hámre,Hámre - Dolné Hámre,Žarnovica,966 61,Hodruša-Hámre 1,Hodruša-Hámre 1,612,BC,48.48334870000001,18.7217034
885,Hámre - Horné Hámre,Hámre - Horné Hámre,Žarnovica,966 71,Horné Hámre,Horné Hámre,612,BC,48.48334870000001,18.7217034
886,Hamuliakovo,Hamuliakovo,Senec,900 43,Hamuliakovo,Hamuliakovo,108,BL,48.0379862,17.2520798
887,Handlová,Handlová,Prievidza,972 51,Handlová,Handlová,307,TC,48.7290079,18.7598695
888,Hanigovce,Hanigovce,Sabinov,082 56,Pečovská Nová Ves,Pečovská Nová Ves,708,PV,49.17332469999999,21.0176529
889,Haniska,Haniska,Košice-okolie,044 57,Haniska pri Košiciach,Haniska p. Košiciach,806,KI,48.6157301,21.2539403
890,Haniska,Haniska,Prešov,080 01,Prešov 1,Prešov 1,707,PV,48.9573623,21.2415264
891,Hanková,Hanková,Rožňava,049 34,Markuška,Markuška,808,KI,48.7486185,20.3139914
892,Hankovce,Hankovce,Bardejov,086 46,Hankovce pri Giraltovciach,Hankovce pri Gir.,701,PV,49.2030391,21.4049827
893,Hankovce,Hankovce,Humenné,067 12,Koškovce,Koškovce,702,PV,49.0286105,21.9467021
894,Hanušovce nad Topľou,Hanušovce nad Topľou,Vranov nad Topľou,094 31,Hanušovce nad Topľou,Hanušovce nad Topľou,713,PV,49.0273908,21.5022433
895,Harakovce,Harakovce,Levoča,053 05,Beharovce,Beharovce,704,PV,48.9972988,20.8452943
896,Harhaj,Harhaj,Bardejov,086 45,Marhaň,Marhaň,701,PV,49.187645,21.4221537
897,Harichovce,Harichovce,Spišská Nová Ves,053 01,Harichovce,Harichovce,810,KI,48.9615395,20.5816124
898,Harmanec,Harmanec,Banská Bystrica,976 03,Harmanec,Harmanec,601,BC,48.7951847,19.0795259
899,Harmónia,Harmónia,Pezinok,900 01,Modra 1,Modra 1,107,BL,48.35649,17.30978
900,Harvelka,Harvelka,Čadca,023 05,Nová Bystrica pri Čadci,Nová Bystrica pri Č.,502,ZI,49.3465,19.10014
901,Hatalov,Hatalov,Michalovce,072 16,Hatalov,Hatalov,807,KI,48.6603137,21.8878294
902,Hatné,Hatné,Považská Bystrica,018 02,Dolná Mariková,Dolná Mariková,306,TC,49.1860978,18.384058
903,Havaj,Havaj,Stropkov,090 23,Havaj,Havaj,711,PV,49.2561613,21.785618
904,Havka,Havka,Kežmarok,061 01,Spišská Stará Ves,Spišská Stará Ves,703,PV,49.3442301,20.4052655
905,Havran,Havran,Senica,906 04,Rohov,Rohov,205,TA,48.76529,17.37887
906,Havranec,Havranec,Svidník,090 02,Kružlová,Kružlová,712,PV,49.4109788,21.5555387
907,Havrania,Havrania,Dolný Kubín,027 05,Zázrivá,Zázrivá,503,ZI,49.2975004,19.186168
908,Havrania Dolina,Havrania Dolina,Spišská Nová Ves,053 76,Mlynky,Mlynky,810,KI,48.8639,20.4281599
909,Hažín,Hažín,Michalovce,072 34,Zalužice,Zalužice,807,KI,48.7518839,22.0194731
910,Hažín nad Cirochou,Hažín nad Cirochou,Humenné,067 83,Kamenica nad Cirochou,Kamenica nad Ciroch.,702,PV,48.93089699999999,21.9603342
911,Hažlín,Hažlín,Bardejov,086 14,Hažlín,Hažlín,701,PV,49.3017416,21.4186108
912,Heďbeneéte,Heďbeneéte,Dunajská Streda,929 01,Dunajská Streda 1,Dunajská Streda 1,201,TA,47.9740095,17.6532768
913,Helcmanovce,Helcmanovce,Gelnica,055 63,Helcmanovce,Helcmanovce,801,KI,48.8293054,20.868947
914,Heľpa,Heľpa,Brezno,976 68,Heľpa,Heľpa,603,BC,48.8606744,19.9693394
915,Henckovce,Henckovce,Rožňava,049 23,Nižná Slaná,Nižná Slaná,808,KI,48.7128224,20.4331042
916,Henclová,Henclová,Gelnica,053 33,Nálepkovo,Nálepkovo,801,KI,48.7859181,20.5978282
917,Hencovce,Hencovce,Vranov nad Topľou,093 02,Vranov nad Topľou 2,Vranov nad Topľou 2,713,PV,48.8730844,21.7306644
918,Hendrichovce,Hendrichovce,Prešov,082 35,Hendrichovce,Hendrichovce,707,PV,49.0214755,21.0006983
919,Herľany,Herľany,Košice-okolie,044 45,Bidovce,Bidovce,806,KI,48.7994143,21.4786659
920,Herman,Herman,Lučenec,985 53,Mýtna,Mýtna,606,BC,48.50047,19.53955
921,Hermanovce,Hermanovce,Prešov,082 35,Hendrichovce,Hendrichovce,707,PV,49.0448902,21.0197855
922,Hermanovce nad Topľou,Hermanovce n/ Topľou,Vranov nad Topľou,094 34,Bystré nad Topľou,Bystré nad Topľou,713,PV,48.9823612,21.5089241
923,Hertník,Hertník,Bardejov,086 42,Hertník,Hertník,701,PV,49.2073773,21.2373437
924,Hervartov,Hervartov,Bardejov,086 22,Kľušov,Kľušov,701,PV,49.24652469999999,21.2043551
925,Hetméň,Hetméň,Šaľa,927 01,Šaľa 1,Šaľa 1,405,NI,48.1228886,17.905327
926,Hiadeľ,Hiadeľ,Banská Bystrica,976 61,Lučatín,Lučatín,601,BC,48.8093861,19.3159322
927,Hincovce,Hincovce,Spišská Nová Ves,053 63,Spišský Hrušov,Spišský Hrušov,810,KI,48.9588932,20.7254891
928,Hladovka,Hladovka,Tvrdošín,027 13,Suchá Hora,Suchá Hora,510,ZI,49.36916429999999,19.7578547
929,Hlavice,Hlavice,Čadca,023 22,Klokočov pri Čadci,Klokočov pri Čadci,502,ZI,49.47107,18.60612
930,Hlboké,Hlboké,Senica,906 31,Hlboké,Hlboké,205,TA,48.6593781,17.4064078
931,Hlboké,Hlboké,Považská Bystrica,018 03,Horná Mariková,Horná Mariková,306,TC,49.23284,18.31361
932,Hlboké nad Váhom,Hlboké nad Váhom,Bytča,014 01,Bytča 1,Bytča 1,501,ZI,49.2225249,18.5588083
933,Hlinené,Hlinené,Čadca,023 54,Turzovka,Turzovka,502,ZI,49.42498000000001,18.6305
934,Hliník,Hliník,Komárno,945 01,Komárno 1,Komárno 1,401,NI,47.83681,18.09654
935,Hliník,Hliník,Liptovský Mikuláš,032 23,Liptovská Sielnica,Liptovská Sielnica,505,ZI,49.1243004,19.4874153
936,Hliník nad Hronom,Hliník nad Hronom,Žiar nad Hronom,966 01,Hliník nad Hronom,Hliník nad Hronom,613,BC,48.5410574,18.7819666
937,Hliník nad Váhom,Hliník nad Váhom,Bytča,014 01,Bytča 1,Bytča 1,501,ZI,49.2342245,18.5791509
938,Hlinné,Hlinné,Vranov nad Topľou,094 35,Soľ,Soľ,713,PV,48.9531752,21.5803989
939,Hlivištia,Hlivištia,Sobrance,073 01,Sobrance,Sobrance,809,KI,48.8050834,22.2180756
940,Hlohovec,Hlohovec,Hlohovec,,,Pozri zoz.ulíc s PSČ,203,TA,48.4251583,17.8033288
941,Hloža,Hloža,Púchov,018 61,Beluša,Beluša,308,TC,49.050753,18.3109502
942,Hniezdne,Hniezdne,Stará Ľubovňa,065 01,Hniezdne,Hniezdne,710,PV,49.303324,20.6307616
943,Hnilčík,Hnilčík,Spišská Nová Ves,053 32,Hnilčík,Hnilčík,810,KI,48.8735303,20.5586996
944,Hnilec,Hnilec,Spišská Nová Ves,053 75,Hnilec,Hnilec,810,KI,48.8434313,20.5029071
945,Hnojné,Hnojné,Michalovce,072 33,Hnojné,Hnojné,807,KI,48.7783942,22.0696837
946,Hnúšťa,Hnúšťa,Rimavská Sobota,981 01,Hnúšťa 1,Hnúšťa 1,609,BC,48.5746472,19.9536192
947,Hodejov,Hodejov,Rimavská Sobota,980 31,Hodejov,Hodejov,609,BC,48.302178,19.9964253
948,Hodejovec,Hodejovec,Rimavská Sobota,980 02,Jesenské,Jesenské,609,BC,48.2824104,20.0157962
949,Hodkovce,Hodkovce,Spišská Nová Ves,053 61,Spišské Vlachy,Spišské Vlachy,810,KI,48.98983020000001,20.7820324
950,Hodkovce,Hodkovce,Košice-okolie,044 21,Šemša,Šemša,806,KI,48.67718050000001,21.0997953
951,Hodruša - Hámre,Hodruša - Hámre,Žarnovica,966 61,Hodruša-Hámre 1,Hodruša-Hámre 1,612,BC,48.4607226,18.7626506
952,Hodulov Vrch,Hodulov Vrch,Myjava,916 14,Hrašné,Hrašné,303,TC,48.7583879,17.6824688
953,Hokovce,Hokovce,Levice,935 84,Horné Semerovce,Horné Semerovce,402,NI,48.1553286,18.8702904
954,Holanovo,Holanovo,Komárno,947 01,Hurbanovo 1,Hurbanovo 1,401,NI,47.84000640000001,18.1656039
955,Holčíkovce,Holčíkovce,Vranov nad Topľou,094 05,Holčíkovce,Holčíkovce,713,PV,49.0172468,21.7242661
956,Holiare,Holiare,Komárno,946 16,Bodza,Bodza,401,NI,47.8277945,17.8143906
957,Holice,Holice,Dunajská Streda,930 34,Holice na Ostrove,Holice na Ostrove,201,TA,47.9958085,17.4848525
958,Holíč,Holíč,Skalica,908 51,Holíč 1,Holíč 1,206,TA,48.8132665,17.161572
959,Holiša,Holiša,Lučenec,985 57,Holiša,Holiša,606,BC,48.3082711,19.7523109
960,Holotka,Holotka,Nitra,951 42,Zbehy,Zbehy,403,NI,48.2696891,18.098507
961,Holumnica,Holumnica,Kežmarok,059 94,Holumnica,Holumnica,703,PV,49.2335343,20.5249882
962,Honce,Honce,Rožňava,049 32,Štítnik,Štítnik,808,KI,48.6679477,20.4054597
963,Hontianska Vrbica,Hontianska Vrbica,Levice,935 55,Hontianska Vrbica,Hontianska Vrbica,402,NI,48.13467,18.7028903
964,Hontianske Moravce,Hontianske Moravce,Krupina,962 71,Dudince,Dudince,605,BC,48.1862939,18.8513921
965,Hontianske Nemce,Hontianske Nemce,Krupina,962 65,Hontianske Nemce,Hontianske Nemce,605,BC,48.2847618,18.9909628
966,Hontianske Tesáre,Hontianske Tesáre,Krupina,962 68,Hontianske Tesáre,Hontianske Tesáre,605,BC,48.2045684,18.9213893
967,Hontianske Trsťany,Hontianske Trsťany,Levice,935 86,Hontianske Trsťany,Hontianske Trsťany,402,NI,48.2076909,18.8034561
968,Horelica,Horelica,Čadca,022 01,Čadca 1,Čadca 1,502,ZI,49.4253722,18.8179123
969,Horenická Hôrka,Horenická Hôrka,Púchov,020 61,Lednické Rovne,Lednické Rovne,308,TC,49.0739819,18.2987604
970,Horňa,Horňa,Sobrance,073 01,Sobrance,Sobrance,809,KI,48.74576889999999,22.1794779
971,Horná Breznica,Horná Breznica,Púchov,020 61,Lednické Rovne,Lednické Rovne,308,TC,49.1086767,18.2503847
972,Horná Dolina,Horná Dolina,Senica,906 05,Sobotište,Sobotište,205,TA,48.74370800000001,17.4499112
973,Horná Hriňová,Horná Hriňová,Detva,962 05,Hriňová,Hriňová,604,BC,48.5939911,19.5355697
974,Horná Kráľová,Horná Kráľová,Šaľa,951 32,Horná Kráľová,Horná Kráľová,405,NI,48.2448404,17.9139493
975,Horná Krupá,Horná Krupá,Trnava,919 65,Dolná Krupá,Dolná Krupá,207,TA,48.5133306,17.5279177
976,Horná Lehota,Horná Lehota,Dolný Kubín,027 41,Oravský Podzámok,Oravský Podzámok,503,ZI,49.2548162,19.4046906
977,Horná Lehota,Horná Lehota,Brezno,976 81,Podbrezová,Podbrezová,603,BC,48.8383817,19.5464848
978,Horná Mariková,Horná Mariková,Považská Bystrica,018 03,Horná Mariková,Horná Mariková,306,TC,49.246168,18.3090283
979,Horná Mičiná,Horná Mičiná,Banská Bystrica,974 01,Banská Bystrica 1,Banská Bystrica 1,601,BC,48.6980035,19.2115275
980,Horná Môlča,Horná Môlča,Banská Bystrica,974 01,Banská Bystrica 1,Banská Bystrica 1,601,BC,48.7103569,19.2905691
981,Horná Poruba,Horná Poruba,Ilava,018 35,Horná Poruba,Horná Poruba,302,TC,48.9410818,18.3050386
982,Horná Potôň,Horná Potôň,Dunajská Streda,930 36,Horná Potôň,Horná Potôň,201,TA,48.0404941,17.4887429
983,Horná Potôň - Lúky,Horná Potôň - Lúky,Dunajská Streda,930 52,Blahová,Blahová,201,TA,48.088579,17.594706
984,Horná Seč,Horná Seč,Levice,935 31,Dolná Seč,Dolná Seč,402,NI,48.1949441,18.5419347
985,Horná Streda,Horná Streda,Nové Mesto n.Váhom,916 24,Horná Streda,Horná Streda,304,TC,48.65567009999999,17.8434303
986,Horná Strehová,Horná Strehová,Veľký Krtíš,991 02,Dolná Strehová,Dolná Strehová,610,BC,48.279432,19.4282268
987,Horná Súča,Horná Súča,Trenčín,913 33,Horná Súča,Horná Súča,309,TC,48.9722929,17.9792275
988,Horná Štubňa,Horná Štubňa,Turčianske Teplice,038 46,Horná Štubňa,Horná Štubňa,509,ZI,48.8221559,18.8856711
989,Horná Tižina,Horná Tižina,Žilina,013 06,Terchová,Terchová,511,ZI,49.2836826,19.0283045
990,Horná Trnávka,Horná Trnávka,Žiar nad Hronom,966 01,Hliník nad Hronom,Hliník nad Hronom,613,BC,48.5788687,18.7593047
991,Horná Ves,Horná Ves,Prievidza,972 48,Horná Ves,Horná Ves,307,TC,48.6087342,18.4905389
992,Horná Ves,Horná Ves,Žiar nad Hronom,967 01,Kremnica 1,Kremnica 1,613,BC,48.6760095,18.9097415
993,Horná Závrská,Horná Závrská,Trenčín,913 33,Horná Súča,Horná Súča,309,TC,48.97602999999999,17.95065
994,Horná Zlatná,Horná Zlatná,Komárno,946 12,Zlatná na Ostrove,Zlatná na Ostrove,401,NI,47.78535,17.95078
995,Horná Ždaňa,Horná Ždaňa,Žiar nad Hronom,966 04,Horná Ždaňa,Horná Ždaňa,613,BC,48.568902,18.7500994
996,Horňany,Horňany,Trenčín,913 24,Svinná,Svinná,309,TC,48.77929470000001,18.1983244
997,Horné Breziny,Horné Breziny,Zvolen,962 61,Dobrá Niva,Dobrá Niva,611,BC,48.5088805,19.0857615
998,Horné Držkovce,Horné Držkovce,Bánovce nad Bebravou,956 54,Veľké Držkovce,Veľké Držkovce,301,TC,48.7365989,18.1655529
999,Horné Dubové,Horné Dubové,Trnava,919 65,Dolná Krupá,Dolná Krupá,207,TA,48.5202958,17.5636182
1000,Horné Hámre,Horné Hámre,Žarnovica,966 71,Horné Hámre,Horné Hámre,612,BC,48.4957145,18.6724703
1001,Horné Chlebany,Horné Chlebany,Topoľčany,956 31,Krušovce,Krušovce,406,NI,48.6044847,18.2223839
1002,Horné Janíky,Horné Janíky,Dunajská Streda,930 39,Zlaté Klasy,Zlaté Klasy,201,TA,48.1411777,17.3925554
1003,Horné Jaseno,Horné Jaseno,Martin,038 02,Dražkovce pri Martine,Dražkovce pri Mart.,506,ZI,49.0244209,18.9933457
1004,Horné Kočkovce,Horné Kočkovce,Púchov,020 01,Púchov 1,Púchov 1,308,TC,49.1138016,18.3247412
1005,Horné Košariská,Horné Košariská,Myjava,906 15,Košariská,Košariská,303,TC,48.667641,17.6073167
1006,Horné Krškany,Horné Krškany,Nitra,949 05,Nitra 5,Nitra 5,403,NI,48.2858852,18.0869613
1007,Horné Lefantovce,Horné Lefantovce,Nitra,951 45,Horné Lefantovce,Horné Lefantovce,403,NI,48.4225736,18.1456481
1008,Horné Lelovce,Horné Lelovce,Prievidza,972 71,Nováky,Nováky,307,TC,48.7238069,18.5345943
1009,Horné Lovčice,Horné Lovčice,Trnava,919 27,Brestovany,Brestovany,207,TA,48.3759733,17.6819005
1010,Horné Mladonice,Horné Mladonice,Krupina,962 43,Senohrad,Senohrad,605,BC,48.34384190000001,19.1509819
1011,Horné Motešice,Horné Motešice,Trenčín,913 26,Motešice,Motešice,309,TC,48.83064599999999,18.1863114
1012,Horné Mýto,Horné Mýto,Dunajská Streda,930 13,Trhová Hradská,Trhová Hradská,201,TA,48.0104812,17.7543152
1013,Horné Naštice,Horné Naštice,Bánovce nad Bebravou,956 41,Uhrovec,Uhrovec,301,TC,48.7350382,18.2962815
1014,Horné Obdokovce,Horné Obdokovce,Topoľčany,956 08,Horné Obdokovce,Horné Obdokovce,406,NI,48.49547159999999,18.0505598
1015,Horné Orešany,Horné Orešany,Trnava,919 03,Horné Orešany,Horné Orešany,207,TA,48.4662884,17.4395804
1016,Horné Otrokovce,Horné Otrokovce,Hlohovec,920 62,Horné Otrokovce,Horné Otrokovce,203,TA,48.49011309999999,17.8817608
1017,Horné Ozorovce,Horné Ozorovce,Bánovce nad Bebravou,957 03,Bánovce nad Bebravou 1,Bánovce nad Beb. 1,301,TC,48.7368777,18.235507
1018,Horné Plachtince,Horné Plachtince,Veľký Krtíš,991 24,Dolné Plachtince,Dolné Plachtince,610,BC,48.2384541,19.2830052
1019,Horné Príbelce,Horné Príbelce,Veľký Krtíš,991 25,Čebovce,Čebovce,610,BC,48.1964808,19.2506905
1020,Horné Pršany,Horné Pršany,Banská Bystrica,974 05,Banská Bystrica 5,Banská Bystrica 5,601,BC,48.7001912,19.0849503
1021,Horné Rykynčice,Horné Rykynčice,Krupina,962 55,Rykynčice,Rykynčice,605,BC,48.2092391,18.9719771
1022,Horné Saliby,Horné Saliby,Galanta,925 03,Horné Saliby,Horné Saliby,202,TA,48.1248573,17.7489168
1023,Horné Saliby - časť Hrušov,Horné Saliby-Hrušov,Galanta,925 02,Dolné Saliby,Dolné Saliby,202,TA,48.09791999999999,17.7705
1024,Horné Semerovce,Horné Semerovce,Levice,935 84,Horné Semerovce,Horné Semerovce,402,NI,48.1249896,18.8778822
1025,Horné Sľažany,Horné Sľažany,Zlaté Moravce,951 71,Sľažany,Sľažany,407,NI,48.3964568,18.3284906
1026,Horné Srnie,Horné Srnie,Trenčín,914 42,Horné Srnie,Horné Srnie,309,TC,48.991887,18.1011014
1027,Horné Strháre,Horné Strháre,Veľký Krtíš,991 03,Pôtor,Pôtor,610,BC,48.2709073,19.3614908
1028,Horné Štitáre,Horné Štitáre,Topoľčany,956 03,Hajná Nová Ves,Hajná Nová Ves,406,NI,48.527319,18.05442
1029,Horné Trhovište,Horné Trhovište,Hlohovec,920 66,Horné Trhovište,Horné Trhovište,203,TA,48.46820520000001,17.8686704
1030,Horné Turovce,Horné Turovce,Levice,935 81,Horné Turovce,Horné Turovce,402,NI,48.1249297,18.9449167
1031,Horné Vestenice,Horné Vestenice,Prievidza,972 22,Nitrica,Nitrica,307,TC,48.7108219,18.4298498
1032,Horné Zahorany,Horné Zahorany,Rimavská Sobota,980 26,Lukovištia,Lukovištia,609,BC,48.4609797,20.0089587
1033,Horné Zelenice,Horné Zelenice,Hlohovec,920 52,Siladice,Siladice,203,TA,48.3869821,17.7568748
1034,Horný Badín,Horný Badín,Krupina,962 51,Čabradský Vrbovok,Čabradský Vrbovok,605,BC,48.3518509,19.0670433
1035,Horný Bar,Horný Bar,Dunajská Streda,930 33,Horný Bar,Horný Bar,201,TA,47.94708010000001,17.4640359
1036,Horný Čepeň,Horný Čepeň,Galanta,926 01,Sereď 1,Sereď 1,202,TA,48.3125318,17.7219634
1037,Horný Ďur,Horný Ďur,Levice,935 34,Veľký Ďur,Veľký Ďur,402,NI,48.2134047,18.443654
1038,Horný Hričov,Horný Hričov,Žilina,013 42,Horný Hričov,Horný Hričov,511,ZI,49.2576645,18.6591532
1039,Horný Jalšovík,Horný Jalšovík,Krupina,962 41,Bzovík,Bzovík,605,BC,48.3191978,19.1062236
1040,Horný Jatov,Horný Jatov,Šaľa,925 71,Trnovec nad Váhom,Trnovec nad Váhom,405,NI,48.1554215,17.9584572
1041,Horný Jelenec,Horný Jelenec,Banská Bystrica,976 02,Staré Hory,Staré Hory,601,BC,48.86202,19.15018
1042,Horný Kalník,Horný Kalník,Martin,038 02,Dražkovce pri Martine,Dražkovce pri Mart.,506,ZI,49.0334942,18.970012
1043,Horný Lieskov,Horný Lieskov,Považská Bystrica,018 21,Dolný Lieskov,Dolný Lieskov,306,TC,49.0653434,18.4333632
1044,Horný Moštenec,Horný Moštenec,Považská Bystrica,017 01,Považská Bystrica 1,Považská Bystrica 1,306,TC,49.0732667,18.456378
1045,Horný Ohaj,Horný Ohaj,Nitra,952 01,Vráble,Vráble,403,NI,48.152725,18.190745
1046,Horný Pial,Horný Pial,Levice,935 37,Dolný Pial,Dolný Pial,402,NI,48.1566982,18.4499223
1047,Horný Štefanov,Horný Štefanov,Tvrdošín,027 44,Tvrdošín 1,Tvrdošín 1,510,ZI,49.3638273,19.5267159
1048,Horný Tisovník,Horný Tisovník,Detva,962 75,Horný Tisovník,Horný Tisovník,604,BC,48.4165117,19.3617039
1049,Horný Turček,Horný Turček,Turčianske Teplice,038 48,Turček,Turček,509,ZI,48.7571308,18.9261499
1050,Horný Vadičov,Horný Vadičov,Kysucké Nové Mesto,023 45,Horný Vadičov,Horný Vadičov,504,ZI,49.2641829,18.8782266
1051,Horný Vinodol,Horný Vinodol,Nitra,951 06,Vinodol,Vinodol,403,NI,48.15884399999999,18.1713312
1052,Horovce,Horovce,Púchov,020 62,Horovce pri Púchove,Horovce pri Púchove,308,TC,49.0449897,18.2567777
1053,Horovce,Horovce,Michalovce,072 02,Tušická Nová Ves,Tušická Nová Ves,807,KI,48.7062467,21.7713627
1054,Horša,Horša,Levice,934 01,Levice 1,Levice 1,402,NI,48.2397436,18.6914944
1055,Hoste,Hoste,Galanta,925 45,Abrahám,Abrahám,202,TA,48.2607253,17.6388048
1056,Hostice,Hostice,Rimavská Sobota,980 04,Hostice,Hostice,609,BC,48.2384006,20.065864
1057,Hostie,Hostie,Zlaté Moravce,951 94,Hostie,Hostie,407,NI,48.4507181,18.4378896
1058,Hostišovce,Hostišovce,Rimavská Sobota,980 23,Teplý Vrch,Teplý Vrch,609,BC,48.49792619999999,20.1161591
1059,Hosťová,Hosťová,Nitra,951 02,Pohranice,Pohranice,403,NI,48.33895589999999,18.207214
1060,Hosťovce,Hosťovce,Zlaté Moravce,951 91,Hosťovce,Hosťovce,407,NI,48.41695199999999,18.3556977
1061,Hosťovce,Hosťovce,Košice-okolie,044 02,Turňa nad Bodvou,Turňa nad Bodvou,806,KI,48.57244540000001,20.854391
1062,Hostovice,Hostovice,Snina,067 35,Pčoliné,Pčoliné,709,PV,49.1185295,22.1440538
1063,Hoštiná,Hoštiná,Púchov,020 01,Púchov 1,Púchov 1,308,TC,49.1665636,18.3329128
1064,Hozelec,Hozelec,Poprad,059 11,Hozelec,Hozelec,706,PV,49.0344152,20.3466937
1065,Hôrka,Hôrka,Poprad,059 12,Hôrka pri Poprade,Hôrka pri Poprade,706,PV,49.0206935,20.395233
1066,Hôrka nad Váhom,Hôrka nad Váhom,Nové Mesto n.Váhom,916 32,Hôrka nad Váhom,Hôrka nad Váhom,304,TC,48.718198,17.8918757
1067,Hôrky,Hôrky,Žilina,010 04,Žilina 4,Žilina 4,511,ZI,49.2037565,18.6926821
1068,Hrabičov,Hrabičov,Žarnovica,966 78,Hrabičov,Hrabičov,612,BC,48.5343961,18.6633408
1069,Hrabkov,Hrabkov,Prešov,082 33,Chminianska Nová Ves,Chminianska Nová Ves,707,PV,48.9592987,21.0180541
1070,Hrabová Roztoka,Hrabová Roztoka,Snina,067 73,Ubľa,Ubľa,709,PV,48.8787546,22.2998105
1071,Hrabovčík,Hrabovčík,Svidník,089 01,Svidník,Svidník,712,PV,49.2817346,21.5568757
1072,Hrabové,Hrabové,Bytča,014 01,Bytča 1,Bytča 1,501,ZI,49.20555969999999,18.5662096
1073,Hrabovec,Hrabovec,Bardejov,086 11,Hrabovec,Hrabovec,701,PV,49.2745354,21.3775683
1074,Hrabovec nad Laborcom,Hrabovec n/ Laborcom,Humenné,067 01,Radvaň nad Laborcom,Radvaň nad Laborcom,702,PV,49.0948765,21.9391049
1075,Hrabovka,Hrabovka,Trenčín,913 32,Dolná Súča,Dolná Súča,309,TC,48.9354896,18.0391724
1076,Hrabovka,Hrabovka,Púchov,020 01,Púchov 1,Púchov 1,308,TC,49.120813,18.3081692
1077,Hrabovo,Hrabovo,Poltár,985 01,Kalinovo,Kalinovo,607,BC,48.39012349999999,19.7174311
1078,Hrabské,Hrabské,Bardejov,086 06,Malcov,Malcov,701,PV,49.3385189,21.0735123
1079,Hrabušice,Hrabušice,Spišská Nová Ves,053 15,Hrabušice,Hrabušice,810,KI,48.9756053,20.4088157
1080,Hradisko,Hradisko,Kežmarok,059 71,Ľubica,Ľubica,703,PV,49.0572521,20.5224607
1081,Hradisko,Hradisko,Svidník,090 42,Okruhlé,Okruhlé,712,PV,49.19938,21.5830999
1082,Hradisko,Hradisko,Prešov,082 67,Terňa,Terňa,707,PV,49.0572521,20.5224607
1083,Hradište,Hradište,Partizánske,958 54,Hradište pri Partizánskom,Hradište pri Partiz.,305,TC,48.6814353,18.3722392
1084,Hradište,Hradište,Poltár,985 25,Uhorské,Uhorské,607,BC,48.4918243,19.7225497
1085,Hradište pod Vrátnom,Hradište pod Vrátnom,Senica,906 12,Hradište pod Vrátnom,Hradište pod Vrátnom,205,TA,48.6274767,17.487129
1086,Hradištská Moľva,Hradištská Moľva,Michalovce,072 06,Malčice,Malčice,807,KI,48.5754188,21.8094707
1087,Hradná,Hradná,Bytča,013 52,Súľov,Súľov,501,ZI,49.1330183,18.5880921
1088,Hrádok,Hrádok,Nové Mesto n.Váhom,916 33,Hrádok nad Váhom,Hrádok nad Váhom,304,TC,48.6980375,17.8882504
1089,Hrachovište,Hrachovište,Nové Mesto n.Váhom,916 16,Krajné,Krajné,304,TC,48.7139238,17.7278069
1090,Hrachovo,Hrachovo,Rimavská Sobota,980 52,Hrachovo,Hrachovo,609,BC,48.46364879999999,19.9507281
1091,Hraň,Hraň,Trebišov,076 03,Hraň,Hraň,811,KI,48.54469650000001,21.7884992
1092,Hraničné,Hraničné,Stará Ľubovňa,065 22,Mníšek nad Popradom,Mníšek nad Popradom,710,PV,49.3756753,20.699535
1093,Hranovnica,Hranovnica,Poprad,059 16,Hranovnica,Hranovnica,706,PV,48.9881172,20.308529
1094,Hrašné,Hrašné,Myjava,916 14,Hrašné,Hrašné,303,TC,48.7507156,17.6634536
